Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79,71,6.5,482,Team Ninja,T
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89,86,80,8.7,348,Capcom,T
Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,0.65,0.4,1.05,0.11,2.22,84,70,8.6,219,Capcom,T
Mr. Driller: Drill Spirits,DS,2004,Puzzle,Nintendo,0.08,0,0.05,0.01,0.14,70,35,8.9,9,Namco,E
Mystery Case Files: The Malgrave Incident,Wii,2011,Adventure,Nintendo,0.17,0.13,0,0.03,0.32,65,26,8.2,5,Sanzaru Games,E
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,Nintendo,0.44,0.03,0,0.04,0.51,74,23,8.1,21,8ing/Raizing,T
NES Remix,WiiU,2014,Action,Nintendo,0.17,0,0.08,0.02,0.28,71,34,7.1,133,Indies Zero,E
New Super Luigi U,WiiU,2013,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77,59,7.9,288,Nintendo,E
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo,E
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78,70,7.2,424,Nintendo,E
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,Nintendo,E
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77,61,7.9,471,Nintendo,E10+
Pandora's Tower,Wii,2011,Role-Playing,Nintendo,0.11,0.1,0.08,0.02,0.31,73,48,8,99,Ganbarion,T
Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75,72,6.8,208,"Nintendo, Intelligent Systems",E
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.12,0.41,0.64,0.14,2.3,75,69,5.6,382,Intelligent Systems,E
Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.9,1,1.03,0.17,3.11,81,12,7.8,10,Indies Zero,E
Picross 3D,DS,2009,Puzzle,Nintendo,0.28,0.03,0.16,0.02,0.49,83,35,8.4,33,HAL Labs,E
Picross DS,DS,2007,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.5,83,33,8.7,36,Jupiter Corporation,E
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87,79,8.7,664,Nintendo,E10+
PilotWings Resort,3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.95,71,64,7.4,88,Monster Games Inc.,E
Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01,0.33,86,25,8.2,15,Intelligent Systems,E
Pok??mon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.15,0.04,0.83,0,2.02,62,34,8.1,97,ChunSoft,E
Pok??mon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,Game Freak,E
Pok??Park Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.53,0.16,0.42,0.06,1.17,62,22,7.2,36,Creatures Inc.,E
Pokemon Art Academy ,3DS,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49,76,22,7.7,19,Headstrong Games,E
Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.78,0.37,0.3,0.13,1.58,53,34,6.7,106,Genius Sonority Inc.,E
Pokemon Conquest,DS,2012,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02,80,40,8.2,89,Koei,E
Pokemon Dash,DS,2004,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77,46,28,5.9,34,Ambrella,E
Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,1.56,54,26,9,133,ChunSoft,E
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,59,46,6.3,134,"Nintendo, Spike Chunsoft",E
Pokemon Ranger,DS,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69,21,7.6,50,HAL Labs,E
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68,25,8.2,25,Creatures Inc.,E
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,0.94,0.53,0.62,0.18,2.28,68,24,8.2,27,"HAL Labs, Creatures Inc.",E
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,56,36,7.1,50,Ambrella,E10+
Pokemon Rumble World,3DS,2015,Action,Nintendo,0,0.01,0.08,0,0.09,58,16,6.4,69,"Ambrella, The Pokemon Company",E10+
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69,44,8.8,190,"Spike Chunsoft Co. Ltd., Spike Chunsoft",E
PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.26,0.19,0.27,0.04,0.75,60,18,7,27,Creatures Inc.,E
Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26,73,34,8.4,17,Mitchell,E
Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo,0,0.48,0.25,0.03,0.75,81,58,7.9,86,Level 5,E10+
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,Level 5,E
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.9,1.76,0.92,0.37,3.94,84,65,8.8,72,Level 5,E10+
Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,0.28,1.39,0.68,0.32,2.67,83,58,8.7,52,Level 5,E10+
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,0.6,1.57,0.82,0.27,3.26,86,62,9.2,111,Level 5,E10+
Rhythm Heaven,DS,2008,Misc,Nintendo,0.55,0.5,1.93,0.13,3.11,83,48,9,63,Nintendo,E
Samurai Warriors 3,Wii,2009,Action,Nintendo,0.09,0.02,0.32,0.01,0.44,55,26,7.2,22,Omega Force,T
Sing Party,WiiU,2012,Misc,Nintendo,0.13,0.12,0,0.02,0.27,60,21,5.4,18,FreeStyleGames,E10+
Solatorobo: Red the Hunter,DS,2010,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.2,76,40,7.9,23,CyberConnect2,E10+
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,0.13,0.02,0.06,0.01,0.22,54,35,6.1,28,Tecmo Koei Games,T
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,Nintendo,E10+
Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.06,0.94,81,65,8.2,231,Nintendo,E10+
Star Fox Command,DS,2006,Shooter,Nintendo,0.38,0.01,0.1,0.04,0.53,76,56,7.3,56,Q-Games,E10+
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.17,0.1,0.07,0.03,0.36,69,82,7.4,662,PlatinumGames,E10+
Steel Diver,3DS,2011,Action,Nintendo,0.31,0.09,0.05,0.03,0.49,58,55,6.3,29,Nintendo,E10+
Story of Seasons,3DS,2014,Simulation,Nintendo,0,0.14,0.27,0.01,0.42,76,39,8.2,54,Marvelous AQL,E10+
Style Savvy,DS,2008,Simulation,Nintendo,0.62,0.82,0.96,0.18,2.58,73,4,7.7,7,syn Sophia,E
Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,76,5,8,15,syn Sophia,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3,2.14,0.78,10.81,90,82,8.4,921,Nintendo,E
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93,83,9,1607,Nintendo,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,Nintendo,E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88,85,8.7,691,Nintendo,E
Super Paper Mario,Wii,2007,Platform,Nintendo,1.95,0.86,0.59,0.31,3.71,85,56,7.9,417,Intelligent Systems,E
Super Princess Peach,DS,2005,Platform,Nintendo,0.7,0.05,0.21,0.07,1.03,75,48,7.6,33,TOSE,E
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,Game Arts,T
Super Swing Golf,Wii,2006,Sports,Nintendo,0.14,0.01,0.07,0.01,0.22,72,44,7.8,15,"Tecmo, Ntreev Soft",E10+
Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,0.06,0.07,0.05,0.01,0.2,64,42,5.9,39,Arika,T
Tetris DS,DS,2006,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,84,56,8.7,44,Nintendo,E
Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,72,19,5.8,4,"Tetris Online, Inc",E
The Last Story,Wii,2011,Role-Playing,Nintendo,0.3,0.13,0.18,0.04,0.65,80,61,8.4,179,"Mistwalker, Artoon",T
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,1.01,0.46,0.23,3.1,91,81,8.9,1057,Nintendo,E
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89,82,9,478,GREZZO,E10+
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,416,Nintendo,E
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,93,81,8,1958,Nintendo,E10+
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.4,0.91,0.74,0.26,3.31,87,75,7.8,228,Nintendo,E10+
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73,73,7.6,179,Nintendo,E
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03,86,74,8.4,329,"Tantalus Interactive, Tantatus, Nintendo",T
The Legendary Starfy,DS,2008,Platform,Nintendo,0.6,0,0.2,0.05,0.85,75,25,8.4,26,TOSE,E
The Wonderful 101,WiiU,2013,Action,Nintendo,0.19,0.1,0.08,0.03,0.4,78,75,8.5,495,PlatinumGames,T
Trace Memory,DS,2005,Adventure,Nintendo,0.15,0.01,0.12,0.01,0.29,70,51,8.1,42,Cing,T
Trauma Center: New Blood,Wii,2007,Simulation,Nintendo,0.22,0.04,0.01,0.02,0.29,77,43,8,20,Atlus,T
Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo,0.28,0.01,0.03,0.03,0.34,80,49,8,47,Atlus,T
Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,0.3,0.01,0.02,0.03,0.35,81,45,8.7,45,ITL,T
True Swing Golf,DS,2005,Sports,Nintendo,0.11,0,0.04,0.01,0.16,66,32,7.7,11,T&E Soft,E
Wario: Master of Disguise,DS,2007,Platform,Nintendo,0.28,0.02,0.33,0.03,0.65,60,35,7.4,19,Suzak,E10+
WarioWare D.I.Y.,DS,2009,Misc,Nintendo,0.17,0.18,0.2,0.04,0.59,82,53,8.7,39,Intelligent Systems,E
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.86,1.04,0.73,0.26,2.89,83,61,7.4,179,Intelligent Systems,E10+
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,Nintendo,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,Nintendo,E
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72,19,7.7,72,Nintendo,E
Wii Music,Wii,2008,Misc,Nintendo,1.35,1.11,0.46,0.32,3.25,63,43,4.6,116,Nintendo,E
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Nd Cube,E
Wii Party U,WiiU,2013,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65,38,6.8,135,Nd Cube,E
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,E
Wii Play: Motion,Wii,2011,Misc,Nintendo,0.23,0.42,0.18,0.09,0.92,60,34,6.1,16,Nintendo,E10+
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76,51,8,322,Nintendo,E
Wii Sports Club,WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,0.38,68,21,7,106,Nintendo,E10+
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80,73,8,192,Nintendo,E
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91,92,59,8.9,950,Monolith Soft,T
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84,87,8.9,1548,Monolith Soft,T
Yoshi's Island DS,DS,2006,Platform,Nintendo,1.45,0.07,1.1,0.15,2.76,81,42,7.4,67,Artoon,E
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64,71,6.1,155,Arzest,E
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78,83,8.5,376,Good-Feel,E
